State,County,"(0.0, 16.0]","(16.0, 32.0]","(32.0, 64.0]","(64.0, 128.0]","(128.0, 256.0]","(256.0, 512.0]","(512.0, 1024.0]","(1024.0, 2048.0]","(2048.0, 4096.0]","(4096.0, 8192.0]","(8192.0, 16384.0]","(16384.0, 32768.0]","(32768.0, 65536.0]","(65536.0, 131072.0]","(131072.0, 262144.0]","(262144.0, 524288.0]","(524288.0, inf]"
CO,Montrose,0,1,488,6,1,29,6,0,1,0,1,0,0,0,0,1,0
CO,Morgan,0,25,491,10,0,18,29,0,0,0,0,0,0,0,0,0,0
CO,Otero,0,7,215,1,0,1,1,0,0,0,0,0,1,0,0,0,0
CO,Ouray,0,4,183,2,2,16,14,1,0,0,0,1,0,0,0,0,0
CO,Park,0,15,1615,41,16,19,8,0,0,1,0,0,0,0,2,1,0
CO,Phillips,0,3,158,3,1,8,4,0,0,1,0,0,0,0,0,0,0
CO,Pitkin,0,8,764,133,11,6,12,1,3,1,0,0,2,1,0,1,0
CO,Prowers,0,2,489,11,2,2,2,0,0,0,0,0,0,0,0,1,2
CO,Pueblo,0,66,2431,66,26,15,91,7,0,0,1,1,6,2,9,1,7
CO,Rio Blanco,0,4,263,3,2,2,5,1,0,0,0,2,1,0,0,0,0
CO,Rio Grande,0,1,284,7,1,0,6,0,0,0,0,0,0,0,0,0,0
CO,Routt,0,10,1804,74,3,27,44,2,0,0,0,1,1,1,1,2,0
CO,Saguache,0,1,223,3,0,5,4,0,0,0,0,0,0,0,0,0,0
CO,San Juan,0,2,187,10,15,17,15,1,0,1,0,0,0,0,2,0,0
CO,San Miguel,0,1,108,1,1,0,11,3,1,1,0,0,0,1,0,0,0
CO,Sedgwick,0,1,613,6,0,16,12,0,0,0,0,0,0,0,1,0,0
CO,Summit,0,63,8677,232,92,165,98,11,2,2,0,0,2,0,3,1,0
CO,Teller,0,14,201,23,5,3,15,0,1,0,0,1,0,0,0,0,0
CO,Washington,0,10,364,5,1,6,6,0,1,0,0,0,0,0,0,0,0
CO,Weld,0,308,8156,286,46,93,182,22,17,68,35,35,56,8,7,7,3
CO,Yuma,0,2,220,8,0,1,3,0,0,0,0,0,0,0,0,0,0
CT,ALL,24677,26914,101058,12617,7051,3175,892,45,36,20,27,4,25,12,40,13,21
CT,Fairfield,11047,9638,43950,5452,2432,622,203,9,12,0,0,1,1,6,0,1,12
CT,Hartford,4755,6629,19003,2796,1631,1085,391,7,10,0,2,2,19,4,35,10,6
CT,Litchfield,826,756,2666,149,32,63,9,3,0,0,1,0,1,0,1,0,1
CT,Middlesex,767,1048,3914,546,157,168,14,1,2,1,0,0,0,0,0,0,0
CT,New Haven,4642,6079,21655,2744,2025,790,166,17,8,18,23,0,3,2,1,0,1
CT,New London,1596,1717,5959,707,676,316,84,7,4,1,0,0,0,0,2,2,0
CT,Tolland,561,646,2093,150,38,54,13,0,0,0,0,1,1,0,1,0,0
CT,Westchester,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CT,Windham,483,401,1818,73,60,76,12,1,0,0,1,0,0,0,0,0,1
